上海,上海天泰网络技术有限公司,"技能培训,节日礼物,专项奖金,带薪年假",Python软件工程师,10k-15k,信息安全/未融资,本科/1-3年
上海,上海医时信息科技有限公司,"专项奖金,年底双薪,美女多,帅哥多",Python高级工程师,15k-30k,"移动互联网,医疗健康/A轮",不限/1-3年
上海,上海润客投资控股有限公司,"节日礼物,带薪年假,绩效奖金,扁平管理",Python数据开发工程师,7k-14k,"移动互联网,金融/A轮",本科/不限
上海,弘则弥道（上海）投资咨询有限公司,"节日礼物,股票期权,带薪年假,年度旅游",Python开发工程师,10k-20k,"移动互联网,金融/未融资",硕士/1-3年
上海,上海叮诺科技有限公司,"带薪年假,弹性工作,扁平管理,节日礼物",Python工程师,10K-20K,移动互联网/天使轮,本科/1-3年
上海,千言信息技术（上海）有限公司,"股票期权,20天年假,高端医疗保险,学习基金计划",Python工程师,10k-20k,"电子商务,教育/A轮",本科/1-3年
上海,上海烨云信息科技有限公司,"绩效奖金,带薪年假,领导好,管理规范",高级Python软件开发工程师,10k-20k,企业服务、移动互联网/未融资,本科/3-5年
上海,八维宏烨(上海)信息科技有限公司,,python讲师,20k-30k,"移动互联网,教育/不需要融资",本科/3-5年
上海,上海合阔信息技术有限公司,"年底双薪,带薪年假,定期体检,老板nice",python开发工程师（SAAS云平台研发）,12k-24k,"企业服务,移动互联网/A轮",不限/1-3年
上海,再惠（上海）网络科技有限公司,"午餐晚餐补助,领导亲和逗逼,丰厚股票期权,年底2-5薪",后端（Python）开发工程师,16k-32k,"移动互联网,企业服务/B轮",本科/1-3年
上海,上海海同优才教育培训有限责任公司,,Python教员/讲师,10k-20k,"其他,教育/B轮",本科/3-5年
上海,互道信息技术（上海）有限公司,"节日礼物,技能培训,年底双薪,绩效奖金",架构师(Python技术架构),20k-40k,"移动互联网,电子商务/B轮",本科/5-10年
上海,上海司睿杰建筑科技有限公司,"专项奖金,交通补助,午餐补助,通讯津贴",python工程师,10k-20k,"移动互联网,企业服务/不需要融资",不限/不限
上海,拉扎斯网络科技（上海）有限公司,"节日礼物,绩效奖金,年度旅游,岗位晋升",Python工程师,15k-25k,移动互联网/D轮及以上,本科/1-3年
上海,上海东周信息科技有限公司,,Python开发工程师,7k-14k,"移动互联网,企业服务/未融资",大专/1-3年
上海,上海茗日智能科技有限公司,"人工智能,影响行业,技能培训,岗位晋升",Python后端工程师,12k-20k,企业服务/天使轮,本科/1-3年
上海,上海叠念信息科技有限公司,"创业公司,高科技企业",Python开发工程师,7k-12k,"游戏,移动互联网/天使轮",大专/1-3年
