address,company,des,job,money,qua,req
上海,上海众言网络科技有限公司,"技能培训,节日礼物,年底双薪,绩效奖金",Python中级开发工程师,15k-30k,移动互联网/B轮,本科/3-5年
武汉,武汉佰钧成技术有限责任公司,"带薪年假,计算机软件,管理规范,定期体检",python软件开发工程师,6k-12k,移动互联网/不需要融资,本科/不限
北京,遨游酒店信息技术(深圳)有限责任公司,"扁平管理,弹性工作,精英团队,高速发展",高级Python研发工程师,15k-30k,移动互联网/不需要融资,本科/3-5年
廊坊,智线云科技（北京）有限公司,"绩效奖金,股票期权,带薪年假,弹性工作",Python中级工程师,8k-15k,"移动互联网,数据服务/A轮",本科/1-3年
北京,北京旷视科技有限公司,"科技大牛公司,自助三餐,年终多薪,超长带薪假期",高级Python开发工程师,25k-50k,"移动互联网,硬件/C轮",本科/3-5年
苏州,苏州锦佰安信息技术有限公司,"股票期权,弹性工作,带薪年假,绩效奖金",Python开发工程师,12k-20k,信息安全/天使轮,本科/3-5年
北京,北京车之家信息技术有限公司,"技能培训,节日礼物,带薪年假,绩效奖金",python工程师,15k-25k,"移动互联网,文化娱乐/上市公司",本科/3-5年
北京,北京数美时代科技有限公司,"年底双薪,大数据,带薪年假,通讯津贴",python研发工程师,15k-30k,"企业服务,数据服务/B轮",本科/1-3年
北京,北京步鼎方舟科技有限公司,,Python高级开发工程师,20k-30k,"移动互联网,O2O/C轮",本科/3-5年
北京,北京棕榈创想科技有限公司,"绩效奖金,交通补助,定期体检,午餐补助",Python开发工程师,15k-25k,移动互联网/A轮,本科/3-5年
北京,杭州微易信息科技有限公司,"节日礼物,带薪年假,年度旅游,定期体检",python开发工程师,20k-40k,"移动互联网,金融/B轮",本科/3-5年
北京,北京果壳互动科技传媒有限公司,"技能培训,年度旅游,岗位晋升,家庭式三餐",高级Python开发工程师,20k-40k,"移动互联网,社交网络/C轮",本科/3-5年
珠海,北京金山软件有限公司,"年底双薪,节日礼物,技能培训,绩效奖金",Python开发工程师,13k-25k,移动互联网/上市公司,不限/不限
北京,北京源清慧虹信息科技有限公司,"专项奖金,绩效奖金,五险一金,通讯津贴",高级python研发工程师,20k-30k,"信息安全,数据服务/B轮",本科/3-5年
上海,瞬联软件科技（北京）有限公司,"高薪,节日礼物,弹性工作,带薪年假",python开发,10k-19k,"移动互联网 ,企业服务/不需要融资",不限/不限
珠海,广东腾晖信息科技开发股份有限公司,,Python开发工程师,10k-20k,移动互联网/上市公司,本科/1-3年
武汉,武汉佰钧成技术有限责任公司,"带薪年假,计算机软件,管理规范,定期体检",Python,15k-30k,移动互联网/不需要融资,大专/3-5年
成都,成都萌想科技有限责任公司,"美女多,技能培训,扁平管理,领导好",python开发工程师,10k-20k,招聘/B轮,本科/3-5年
北京,北京智者天下科技有限公司,"年底双薪,股票期权,带薪年假,定期体检",Python 开发工程师,18k-36k,"移动互联网,社交网络/D轮及以上",本科/1-3年
北京,北京小龙虾科技有限公司,"股票期权,带薪年假,扁平管理,定期体检",Python系统开发工程师,15k-30k,"金融,数据服务/B轮",本科/1-3年
上海,上海坤亿信息技术有限公司,"绩效奖金,管理规范,五险一金,交通补助",Python开发工程师,8k-11k,"电子商务,企业服务/不需要融资",本科/1-3年
北京,乐飞天下信息技术(北京)有限公司,"技能培训,扁平管理,五险一金,午餐补助",Python中级开发工程师,17k-34k,"移动互联网,旅游/未融资",大专/5-10年
北京,北京大米未来科技有限公司,"绩效奖金,股票期权,五险一金,带薪年假",高级Python开发工程师,15k-30k,教育/D轮及以上,本科/3-5年
深圳,深圳市立新出行信息技术有限公司,"年底双薪,股票期权,带薪年假,绩效奖金",Python后台开发工程师,25k-35k,"电子商务,O2O/不需要融资",本科/3-5年
成都,北京棕榈创想科技有限公司,"绩效奖金,交通补助,定期体检,午餐补助",资深python开发工程师,19k-25k,移动互联网/A轮,本科/5-10年
上海,蜜柚网络科技（上海）有限公司,"技能培训,节日礼物,股票期权,带薪年假",高级Python开发工程师,25k-50k,"社交网络,文化娱乐/不需要融资",本科/3-5年
深圳,深圳市五谷网络科技有限公司,"扁平管理,股权激励,五险一金,创业蓝海",高级Python工程师,15k-20k,"电子商务,O2O/C轮",本科/1-3年
北京,北京汇游科技有限公司,"技能培训,带薪年假,绩效奖金,年度旅游",初级Python开发工程师,10k-15k,"移动互联网,旅游/不需要融资",本科/3-5年
北京,北京格上添富科技发展有限公司,"绩效奖金,带薪年假,午餐补助,定期体检",高级Python研发工程师,20k-35k,"移动互联网,金融/不需要融资",本科/5-10年
上海,上海彩亿信息技术有限公司,"股票期权,年底双薪,五险一金,带薪年假",Python开发,6k-10k,"移动互联网,金融/不需要融资",本科/应届毕业生
北京,北京优虎商务服务有限公司,"绩效奖金,年底双薪,带薪年假,定期体检",python开发工程师,20k-40k,"移动互联网,金融/C轮",本科/1-3年
杭州,武汉佰钧成技术有限责任公司,"带薪年假,计算机软件,管理规范,定期体检",python开发工程师,15k-25k,移动互联网/不需要融资,大专/3-5年
北京,北京智者天下科技有限公司,"年底双薪,股票期权,带薪年假,定期体检",Python 开发工程师,18k-36k,"移动互联网,社交网络/D轮及以上",本科/1-3年
深圳,上海海知智能科技有限公司,"晋升空间大,硅谷管理风格,创新前沿,尊重个性",Python开发实习生,3k-4k,"移动互联网,数据服务/A轮",本科/应届毕业生
北京,北京小龙虾科技有限公司,"股票期权,带薪年假,扁平管理,定期体检",python高级研发工程师（微应用）,20k-30k,"金融,数据服务/B轮",本科/1-3年
上海,南昌力武田电子商务有限公司,"专项奖金,带薪年假,定期体检,年底双薪",Python技术经理,20k-30k,移动互联网/不需要融资,不限/3-5年
上海,上海彩亿信息技术有限公司,"股票期权,年底双薪,五险一金,带薪年假",Python开发,6k-12k,"移动互联网,金融/不需要融资",本科/应届毕业生
北京,路书（北京）科技有限公司,"年度旅游,五险一金,弹性工作,股票期权",高级python研发工程师,25k-40k,"移动互联网,旅游/A轮",本科/5-10年
上海,上海云盾信息技术有限公司,"年底双薪,节日礼物,技能培训,带薪年假",高级Python开发工程师,15k-30k,"移动互联网,数据服务/A轮",本科/3-5年
北京,北京慕华信息科技有限公司,"节日礼物,股票期权,带薪年假,氛围轻松",系统开发工程师（Python）,20k-35k,"移动互联网,教育/B轮",本科/3-5年
广州,广州三尺信息科技有限公司,"股票期权,绩效奖金,扁平管理,合伙人制",Python开发工程师,6k-8k,"移动互联网,企业服务/A轮",本科/1年以下
北京,紫梧桐（北京）资产管理有限公司,"技能培训,年底双薪,股票期权,带薪年假",Python开发工程师,20k-40k,O2O/B轮,本科/5-10年
青岛,青岛思途共享科技信息服务有限公司,"""""",python,10K-15K,教育、移动互联网/未融资,大专/3-5年
上海,上海速石信息科技有限公司,"股票期权,领导好,弹性工作,五险一金",高级资深python开发工程师,25k-40k,企业服务/天使轮,本科/5-10年
长沙,长沙蜜獾信息科技有限公司,"年底双薪,技能培训,绩效奖金,年度旅游",Python工程师,10k-15k,移动互联网/不需要融资,不限/不限
杭州,道富信息科技浙江有限公司,"年底双薪,节日礼物,岗位晋升,管理规范",java、python,15k-20k,金融/上市公司,硕士/3-5年
广州,武汉佰钧成技术有限责任公司,"带薪年假,计算机软件,管理规范,定期体检",python开发工程师（本科，2年+）,10k-20k,移动互联网/不需要融资,本科/1-3年
